AccountId,AccountName,CloseDate,District,IsWon,ItemCategory,OpportunityId,OpportunityName,OpportunityOwner,"Opportunity_IsClosed",OwnerId,ProductCode,ProductFamily,Quantity,ResellerId,SalesOrder,SizeGb,StageName,SubDistrict,SubTheater,Theater,TotalPrice,UnitPrice,"_time"
0014000000PGpkCAAT,"Turbine, Inc.","2015-04-13",East,True,Subscription,0064000000eUM8NAAW,"50gb cloud exp  MK","Tim Cashin",True,00540000000oHrjAAE,"SE-S-CLD",Subscription,"50.0",,45934,"50.0","Closed Won (100%)",East,Territory,AMER,"50000.0","1000.0","2015-04-13T00:00:00.000-0700"
0014000000KBxtiAAD,"Brown Shoe Company, Inc.","2015-06-01",Central,True,Subscription,0064000000caPg6AAE,"Brown Shoe - cloud ecommerce use case","Chris Woodcock",True,00540000002btWTAAY,"SE-S-CLD",Subscription,"200.0",,,"200.0","Closed Won (100%)","South Central",Enterprise,AMER,"75000.0","375.0","2015-06-01T00:00:00.000-0700"
0014000001aRUtIAAW,"U.S. Green Building Council, Inc.","2015-04-28",East,True,Subscription,0064000000eUrfaAAC,"U.S. Green Building Council-5GB Cloud","James Pazora",True,00540000002apuuAAA,"SE-S-CLD",Subscription,"5.0",,46771,"5.0","Closed Won (100%)",East,Territory,AMER,"8100.0","1620.0","2015-04-28T00:00:00.000-0700"
0014000000KC0jXAAT,"Cisco Systems Inc. - Corporate Headquarters","2014-10-14",West,True,Subscription,0064000000ZsiHtAAJ,"Cisco Cloud: Oslo","Bob Nuti",True,00540000001zHHPAA2,"SCLD-5GB",,"1.0",,,"5.0","Closed Won (100%)",NoCal,"Major Accounts",AMER,"8100.0","8100.0","2014-10-14T00:00:00.000-0700"
0014000000fKDWXAA4,ZeOmega,"2015-02-11","Central West",True,Subscription,0064000000ZL8jrAAD,"ZeOmega - app management (Cloud)","Renee Murdia",True,00540000001zaPhAAI,"SCLD-5GB",Subscription,"1.0",0014000000KC0VJAA1,,"5.0","Closed Won (100%)","Central West",Territory,AMER,"7087.5","7087.5","2015-02-11T00:00:00.000-0800"
0013300001b8S7XAAU,"Idibon Inc.","2015-06-18",West,True,Subscription,0063300000fRPekAAG,"Idibon - 5GB Cloud","Amy Stephens",True,00540000001DmN8AAK,"SE-S-CLD",Subscription,"5.0",,49020,"5.0","Closed Won (100%)",West,Territory,AMER,"8100.0","1620.0","2015-06-18T00:00:00.000-0700"
0014000000ihgPOAAY,"Gatwick Airport","2015-06-29","UK - Enterprise",True,Subscription,0064000000aQuJlAAK,"Gatwick Airport - IT Ops Cloud","Bogdan Petre",True,00540000001Dm9uAAC,"SE-S-CLD",Subscription,"20.0",,,"20.0","Closed Won (100%)",Enterprise,UK,EMEA,"75990.0","3799.5","2015-06-29T00:00:00.000-0700"
0014000000KBxmUAAT,"Kaplan, Inc.","2015-01-30",East,True,Subscription,0064000000aOUSZAA4,"Kaplan 20GB Cloud","Bill Grande",True,00540000002bwxcAAA,SCLD,Subscription,"1.0",,,"10.0","Closed Won (100%)",Southeast,"Major Accounts",AMER,"9450.0","9450.0","2015-01-30T00:00:00.000-0800"
0014000000deVXTAA2,"1-800-FLOWERS.COM, Inc.","2014-10-31",East,True,Subscription,0064000000YRq07AAD,"Flowers eComm Cloud 150 GB 60 day retention","Lisa Chu-de Seve",True,00540000001yyGIAAY,SCLD,Subscription,"1.0",,,"150.0","Closed Won (100%)",Northeast,"Major Accounts",AMER,"120000.0","120000.0","2014-10-31T00:00:00.000-0700"
0014000000XjsUfAAJ,"Familysearch International","2015-04-24",West,True,Subscription,0064000000eAAivAAG,"FamilySearch - Cloud 3 yr term","Maureen Boyle",True,00540000001RM5KAAW,"SE-S-CLD",Subscription,"3000.0",,,"3000.0","Closed Won (100%)",Southwest,"Major Accounts",AMER,"4050858.0","1350.286","2015-04-24T00:00:00.000-0700"
0014000000ojN3cAAE,Funtomic,"2013-10-08","Rest of South",True,Subscription,0064000000S7qe6AAB,"Funtomic- Splunk Enterprise Cloud","Benoit Motheron",True,005400000020qOkAAI,SCLD,Subscription,"1.0",,,"0.0","Closed Won (100%)",Territory,South,EMEA,"90000.0","90000.0","2013-10-08T00:00:00.000-0700"
0014000000nQklNAAS,"Polycom, Inc","2014-11-24",West,True,Subscription,0064000000X16XNAAZ,"Polycom - Splunk Cloud 100GB","Sam Katwan",True,0054000000223UyAAI,SCLD,Subscription,"1.0",,,"100.0","Closed Won (100%)","NorCal 2","Major Accounts",AMER,"74193.0","74193.0","2014-11-24T00:00:00.000-0800"
0014000001LUNNIAA5,"Tradesy Inc.","2014-11-18","Central West",True,Subscription,0064000000ZpWiMAAV,"Tradesy, Inc - 5GB Cloud","Jerry Lott",True,00540000001Dl8MAAS,"SCLD-5GB",,"1.0",,,"5.0","Closed Won (100%)",West,Territory,AMER,"8100.0","8100.0","2014-11-18T00:00:00.000-0800"
0014000000KC0jiAAD,"Citrix Systems, Inc.","2015-01-30",West,True,Subscription,0064000000TZz99AAD,"Citrix - 3TB Cloud","Jay Meindertsma",True,005400000020qNNAAY,SCLD,Subscription,"1.0",,,"3000.0","Closed Won (100%)","NorCal 2","Major Accounts",AMER,"2325000.0","2325000.0","2015-01-30T00:00:00.000-0800"
0014000000MP4xZAAT,"Agrium Inc","2014-12-01",West,True,Subscription,0064000000aP8QEAA0,"Agrium Inc Invoice #41595 5GB to 105GB Upgrade + ES 100GB","Ryan Heal",True,005400000021HbDAAU,SCLD,Subscription,"1.0",00140000010aHt2AAE,,"100.0","Closed Won (100%)",Northwest,"Major Accounts",AMER,"363200.0","363200.0","2014-12-01T00:00:00.000-0800"
0014000000ojN3cAAE,Funtomic,"2014-10-22","Rest of South",True,Subscription,0064000000ZKorLAAT,"Funtomic- 2014","Benoit Motheron",True,005400000020qOkAAI,SCLD,Subscription,"1.0",,,"100.0","Closed Won (100%)",Territory,South,EMEA,"18750.0","18750.0","2014-10-22T00:00:00.000-0700"
0014000000ojN3cAAE,Funtomic,"2015-01-10","Rest of South",True,Subscription,0064000000aPQVIAA4,"Funtomic- 2014","Benoit Motheron",True,005400000020qOkAAI,SCLD,Subscription,"1.0",,,"100.0","Closed Won (100%)",Territory,South,EMEA,"18750.0","18750.0","2015-01-10T00:00:00.000-0800"
0014000000deWhsAAE,"Stewarts Shops","2014-11-17",East,True,Subscription,0064000000aPkaaAAC,"HOLDOVER- Stewarts Shops - Cloud 5GB","Van Chapman",True,00540000002anZ1AAI,"SCLD-5GB",,"1.0",,,"5.0","Closed Won (100%)","Northeast 2",Enterprise,AMER,"8100.0","8100.0","2014-11-17T00:00:00.000-0800"
0014000000YqlkQAAR,"MindTouch Inc","2014-04-30","Central West",True,Subscription,0064000000Vus7oAAB,"MindTouch, Inc - Splunk Cloud - 7 & 10 GB /30 Day Retention","Jerry Lott",True,00540000001Dl8MAAS,SCLD,Subscription,"1.0",,,"7.0","Closed Won (100%)","Central West",Territory,AMER,"7059.0","7059.0","2014-04-30T00:00:00.000-0700"
0014000000KBwJqAAL,"AOL, Inc.","2015-03-01",East,True,Subscription,0064000000aOKNZAA4,"AOL- Cloud for Mail","James Hill",True,00540000001DY1LAAW,SCLD,Subscription,"1.0",,,"1000.0","Closed Won (100%)",MidAtlantic,"Major Accounts",AMER,"25000.0","25000.0","2015-03-01T00:00:00.000-0800"
0014000000qxY8iAAE,"White Ops","2013-10-31",East,True,Subscription,0064000000TY4dFAAT,"sj-WhiteOps- Splunk Cloud","Scott Jamison",True,00540000001RaQSAA0,SCLD,Subscription,"1.0",,,"0.0","Closed Won (100%)",East,Territory,AMER,"90000.0","90000.0","2013-10-31T00:00:00.000-0700"
0014000000KcZabAAF,"Financial Industry Regulatory Authority","2014-01-29",East,True,Subscription,0064000000TXOjKAAX,"FINRA Cloud Opp [SCL]","Danny Ansell",True,00540000001EHDpAAO,SCLD,Subscription,"1.0",,,"0.0","Closed Won (100%)",MidAtlantic,Enterprise,AMER,"437600.0","437600.0","2014-01-29T00:00:00.000-0800"
0014000000dFlieAAC,"Jones Lang Lasalle","2014-06-03",Central,True,Subscription,0064000000U6uDIAAZ,"JLL - Cloud - IT Ops - 30GB","Chris Hipskind",True,005400000021CfPAAU,SCLD,Subscription,"1.0",0014000000MR72ZAAT,,"30.0","Closed Won (100%)","North Central 2",Enterprise,AMER,"47500.0","47500.0","2014-06-03T00:00:00.000-0700"
0014000000vP8cbAAC,Backupify,"2014-01-30",East,True,Subscription,0064000000U6UvUAAV,"Enterprise Cloud [SCL]","Tim Cashin",True,00540000000oHrjAAE,SCLD,Subscription,"1.0",,,"0.0","Closed Won (100%)",East,Territory,AMER,"75000.0","75000.0","2014-01-30T00:00:00.000-0800"
0014000001GAFiKAAX,"Member Driven Technologies","2015-01-23",East,True,Subscription,0064000000ZLRqxAAH,"Member Driven Technologies 50Gb License","Tim Abbey",True,00540000001DHZLAA4,"SCLD-50GB",Subscription,"1.0",,42698,"50.0","Closed Won (100%)",East,Territory,AMER,"50000.0","50000.0","2015-01-23T00:00:00.000-0800"
